NYU-UCS-0241-03-Ribozero_S3_L002	NYU-UCS-0241-03-Trio_S3_L002	NYU-UCS-0303-03-Ribozero_S1_L002	NYU-UCS-0303-03-Trio_S1_L002	UCS-0019-MainEvent-Ribozero_S2_L002	UCS-0019-MainEvent-Trio_S2_L002	UCS-0116-MainEvent-Ribozero_S7_L002	UCS-0116-MainEvent-Trio_S7_L002	UCS-0209-MainEvent-Ribozero_S6_L002	UCS-0209-MainEvent-Trio_S6_L002	UCS-0232-02-Ribozero_S8_L002	UCS-0232-02-Trio_S8_L002	UCS-0232-05-Ribozero_S5_L002	UCS-0232-05-Trio_S5_L002	UCS-0289-04-Ribozero_S4_L002	UCS-0289-04-Trio_S4_L002
Shewanella sp. OM3-2	0	0	0	46	0	0	0	0	1	0	0	0	0	7	0	0
Shewanella sp. KX20019	0	0	0	1	0	0	0	4	0	0	0	0	0	0	0	0
Shewanella inventionis	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0
Shewanella sediminis	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
Pseudoalteromonas sp. A25	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoalteromonas marina	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Pseudoalteromonas espejiana	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Cognaticolwellia beringensis	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0
Spiribacter curvatus	0	0	0	38	0	0	4	0	1	0	0	0	0	2	0	0
Halothiobacillus sp. LS2	0	0	0	23	0	0	0	2	0	0	0	0	0	0	0	0
Pasteurella canis	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0
Actinobacillus indolicus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Glaesserella sp. 15-184	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
Microbulbifer aggregans	0	0	0	52	0	0	0	0	0	0	0	0	1	21	0	0
Microbulbifer sp. THAF38	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	1
Microbulbifer sp. A4B17	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0	0
Microbulbifer sp. YPW1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0
Hydrogenovibrio marinus	0	0	0	60	0	0	0	0	0	1	0	0	0	37	0	0
Francisella adeliensis	0	0	0	21	0	0	0	0	0	0	0	0	0	3	0	0
Candidatus Ruthia magnifica	0	0	0	2	0	0	0	9	0	0	0	0	0	2	0	1
Neisseria sp. Dent CA1/247	0	0	0	5	0	15	0	0	0	0	0	0	0	0	0	0
Neisseria musculi	0	0	0	26	0	0	0	0	0	0	0	2	0	0	0	0
Neisseria canis	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0
Neisseria animaloris	0	0	0	9	0	0	1	0	0	0	0	1	0	0	0	0
Neisseria zalophi	0	0	0	8	0	0	0	0	0	1	0	1	0	0	0	0
Neisseria shayeganii	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Simonsiella muelleri	0	0	0	12	0	0	2	23	0	0	1	3	0	0	0	0
Pseudogulbenkiania sp. NH8B	0	0	0	7	0	0	0	16	0	0	0	0	0	0	1	0
Pandoraea apista	0	0	0	5	4	0	0	0	0	0	0	0	0	0	1	0
Polynucleobacter sp. LimPoW16	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0
Polynucleobacter sp. MWH-UH25E	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Thauera aromatica	0	0	0	66	1	0	3	0	0	0	0	0	0	11	0	0
Azospira sp. I09	0	0	0	7	0	0	0	0	0	0	0	0	0	0	5	0
Rhizobium sp. TAL182	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Rhizobium sp. X9	0	0	0	3	0	20	3	0	19	0	0	0	6	0	14	0
Rhizobium phaseoli	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0
Bradyrhizobium sp. C-145	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium sp. S2-20-1	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium guangxiense	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bradyrhizobium zhanjiangense	0	0	0	2	0	0	2	2	0	0	0	0	0	0	0	0
Mesorhizobium sp. 113-3-3	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
Mesorhizobium japonicum	0	0	0	15	0	0	0	4	0	2	0	2	0	0	1	1
Bartonella tribocorum	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Komagataeibacter xylinus	0	0	0	6	0	0	27	0	0	0	0	0	0	0	5	0
Komagataeibacter rhaeticus	0	0	0	9	2	0	0	15	0	9	0	0	0	0	0	22
Wolbachia endosymbiont of Folsomia candida	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
Rickettsia asiatica	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0
Erythrobacter sp. KY5	0	0	0	4	0	0	0	0	0	0	0	0	5	1	1	0
Paracoccus sanguinis	0	0	0	4	0	0	112	0	0	0	0	0	0	0	0	0
Sulfitobacter sp. SK011	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0
Roseobacter litoralis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Pelagibacter sp. FZCC0015	0	0	0	18	0	0	0	0	7	0	0	0	0	0	0	0
Desulfosarcina ovata	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pseudodesulfovibrio piezophilus	0	0	0	9	0	0	3	0	9	3	0	0	0	1	0	0
Geomonas oryzisoli	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1
Geobacter benzoatilyticus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Syntrophotalea acetylenica	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Helicobacter winghamensis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Helicobacter bilis	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0
Campylobacter hepaticus	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter sp. RM12651	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter ureolyticus	0	0	0	1	1	0	0	0	0	4	0	0	0	0	0	0
Campylobacter upsaliensis	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0
Arcobacter cloacae	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0
Aliarcobacter thereius	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
Sulfurospirillum sp. ACSDCE	0	0	0	2	0	0	1	0	0	0	0	0	0	1	1	0
Sulfurospirillum halorespirans	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Hydrogenimonas urashimensis	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Nautilia sp. PV-1	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
Acidithiobacillus ferrivorans	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0
Metamycoplasma phocicerebrale	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	1
[Mycoplasma] phocidae	0	0	0	50	0	0	0	0	0	0	0	0	0	2	0	0
Metamycoplasma canadense	0	0	0	41	0	0	0	0	1	0	0	0	0	0	0	0
Mycoplasma feriruminatoris	0	0	0	2	0	0	0	0	0	0	0	1	0	1	0	0
Mycoplasma sp. Mirounga ES2805-ORL	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasma sp. OR1901	0	0	0	9	0	0	0	0	0	1	0	0	0	0	0	0
Mycoplasma sp. 1654_15	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasma phocoeninasale	0	0	0	72	0	0	0	0	0	0	0	0	0	2	0	0
Mycoplasma miroungirhinis	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasma tauri	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasma tullyi	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasmopsis columbina	0	0	0	42	0	1	1	0	0	0	0	0	0	0	0	0
Mycoplasmopsis meleagridis	0	0	0	37	0	0	1	0	0	0	0	0	0	0	1	0
Mycoplasmopsis phocirhinis	0	0	0	27	0	0	0	0	0	0	1	0	0	0	0	0
Mycoplasmopsis fermentans	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasmopsis edwardii	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	0
Mycoplasmopsis agalactiae	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasmopsis columbinasalis	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasmopsis anatis	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0
Mycoplasmopsis felis	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0
Mycoplasmopsis glycophila	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Mesomycoplasma flocculare	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0
Mesomycoplasma bovoculi	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0
Mesomycoplasma hyorhinis	0	0	0	14	0	0	0	9	6	0	1	0	0	0	8	0
Mesomycoplasma dispar	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0
Spiroplasma phoeniceum	0	0	0	54	0	0	0	0	0	0	0	2	0	0	0	0
Spiroplasma sabaudiense	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1
Spiroplasma diminutum	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Mesoplasma lactucae	0	0	0	14	0	0	1	2	0	0	0	0	0	0	0	0
Mesoplasma florum	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
Aster yellows witches'-broom phytoplasma	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus sp. HBCD-sjtu	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus nitratireducens	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus sp. PAMC26568	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus fonticola	0	0	0	46	0	0	1	74	2	0	0	0	1	0	0	0
Bacillus infantis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lysinibacillus sp. SGAir0095	0	0	0	1	0	0	0	0	2	0	0	0	1	1	0	0
Geobacillus kaustophilus	0	0	0	3	0	0	0	0	22	0	0	0	26	0	0	0
Metabacillus dongyingensis	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0
Metabacillus endolithicus	0	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0
Anoxybacillus caldiproteolyticus	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
Rossellomorea vietnamensis	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0
Sutcliffiella horikoshii	0	0	0	1	0	2	1	0	15	13	0	2	0	0	0	1
Jeotgalicoccus saudimassiliensis	0	0	0	50	0	2	0	9	0	1	0	0	0	0	0	0
Jeotgalicoccus sp. ATCC 8456	0	0	0	7	0	0	3	3	0	1	0	0	0	0	0	2
Paenibacillus sp. E222	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus odorifer	0	0	0	6	0	0	1	0	0	1	0	0	0	0	1	0
Paenibacillus algicola	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0
Paenibacillus protaetiae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus tritici	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Paenibacillus yonginensis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Paenibacillus dendritiformis	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
Brevibacillus formosus	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0
Exiguobacterium acetylicum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Kurthia sp. 11kri321	0	0	0	1	0	0	3	2	0	0	0	0	0	1	0	0
Listeria welshimeri	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Tumebacillus algifaecis	0	0	0	2	0	0	0	1	3	0	2	0	0	0	0	0
Streptococcus sobrinus	0	0	0	2	0	0	0	5	3	3	2	0	6	0	0	0
Streptococcus ilei	0	0	0	1	0	0	14	3	5	7	0	0	0	1	0	0
Streptococcus equinus	0	0	0	1	0	0	0	6	1	0	0	0	0	0	0	0
Streptococcus acidominimus	0	0	0	1	0	0	0	0	14	16	0	0	0	0	0	0
Streptococcus sp. HSISS2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Lactococcus allomyrinae	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1
Weissella koreensis	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Companilactobacillus alimentarius	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0
Companilactobacillus heilongjiangensis	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Carnobacterium divergens	0	0	0	2	0	0	0	0	1	1	0	0	0	1	0	0
Carnobacterium sp. 17-4	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0
Aerococcus urinae	0	0	0	10	0	0	9	4	8	1	0	0	0	0	0	0
Clostridium sp. M62/1	0	0	0	3	2	0	2	9	2	1	45	0	0	0	0	0
Clostridium sp. AWRP	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	2
Clostridium sp. BJN0001	0	0	0	1	0	0	0	0	3	5	0	1	0	0	0	0
Clostridium isatidis	0	0	0	1	0	0	3	0	0	5	0	0	0	0	0	0
Candidatus Arthromitus sp. SFB-rat-Yit	0	0	0	5	0	0	0	0	0	0	0	2	0	3	0	0
Crassaminicella profunda	0	0	0	4	0	1	0	5	4	0	2	4	1	1	3	0
Sarcina sp. JB2	0	0	0	1	0	0	6	0	1	1	1	0	0	1	0	1
Paeniclostridium sordellii	0	0	0	3	0	1	0	0	1	1	0	0	0	2	0	0
Anaerocolumna sedimenticola	0	0	0	3	0	0	0	1	3	0	1	3	0	0	0	0
Coprococcus sp. ART55/1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Aminipila butyrica	0	0	0	5	0	0	12	0	6	0	0	0	0	0	0	0
Aminipila terrae	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	1
Thermaerobacter marianensis	0	0	0	5	0	0	0	10	0	0	0	0	0	0	0	0
Fenollaria massiliensis	0	0	0	2	1	0	2	4	0	0	2	0	1	0	0	0
Thermodesulfobium acidiphilum	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Veillonella atypica	0	0	0	2	0	0	6	1	0	0	0	0	0	0	0	0
Veillonella nakazawae	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0
Pectinatus frisingensis	0	0	0	2	0	0	3	0	1	3	0	0	0	1	0	0
Pelosinus sp. UFO1	0	0	0	1	0	0	0	7	0	0	0	1	0	1	0	0
Erysipelothrix inopinata	0	0	0	3	0	0	2	1	0	1	0	0	0	0	0	0
Allobaculum sp. Allo2	0	0	0	6	0	0	3	2	1	0	2	0	0	0	3	0
Mycolicibacterium helvum	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Corynebacterium variabile	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0
Nocardia wallacei	0	0	0	2	0	0	0	2	0	2	0	0	0	0	1	0
Nocardia sp. CS682	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
Gordonia sp. YC-JH1	0	0	0	1	0	0	0	1	8	0	0	0	1	0	1	0
Gordonia phthalatica	0	0	0	1	1	0	0	0	6	0	0	0	0	0	0	0
Tsukamurella paurometabola	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Tsukamurella pulmonis	0	0	0	1	0	0	5	0	0	0	0	0	2	0	2	0
Arthrobacter sp. PGP41	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
Arthrobacter sp. PAMC 25486	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Pseudarthrobacter sp. NBSH8	0	0	0	1	0	0	0	7	0	0	0	0	0	0	0	0
Pseudarthrobacter psychrotolerans	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Leucobacter insecticola	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0
Brevibacterium oceani	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Dermabacter vaginalis	0	0	0	1	1	0	20	6	0	0	0	0	0	0	0	0
Cellulosimicrobium sp. JZ28	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. endophyte_N2	0	0	0	5	0	0	0	4	0	8	0	0	0	0	0	0
Streptomyces sp. CdTB01	0	0	0	3	0	0	3	1	2	0	1	1	0	1	0	0
Streptomyces sp. NEAU-sy36	0	0	0	2	1	0	0	3	1	0	0	1	0	1	0	0
Streptomyces sp. C8S0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
Streptomyces sp. CB09001	0	0	0	2	0	0	0	3	0	0	0	0	0	0	1	0
Streptomyces sp. TN58	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. MOE7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. P3	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Streptomyces sp. CB04723	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. Go-475	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0
Streptomyces sp. HM190	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0
Streptomyces sp. 769	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Streptomyces sp. CRSS-Y-16	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. Mg1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. BH-MK-02	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces sp. RPA4-5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
Streptomyces buecherae	0	0	0	23	0	0	0	2	0	0	1	0	0	1	0	0
Streptomyces alboflavus	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0
Streptomyces olivoreticuli	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0
Streptomyces violaceusniger	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
Streptomyces gardneri	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	0
Streptomyces niveus	0	0	0	3	1	0	0	0	0	0	1	0	1	0	0	0
Streptomyces nigra	0	0	0	2	0	0	1	0	3	1	0	0	4	0	0	0
Streptomyces hawaiiensis	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces subrutilus	0	0	0	2	0	0	0	0	0	0	2	0	0	1	0	0
Streptomyces alboniger	0	0	0	1	0	0	0	7	2	0	0	0	0	0	0	0
Streptomyces asoensis	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces globisporus	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces microflavus	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0
Streptomyces cinereoruber	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Streptomyces californicus	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
Streptomyces decoyicus	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Streptomyces pratensis	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0
Streptomyces bathyalis	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
Streptomyces lincolnensis	0	0	0	1	1	0	0	1	0	0	2	1	5	0	5	0
Streptomyces lavendulae	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0
Streptomyces luteoverticillatus	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Streptacidiphilus sp. PB12-B1b	0	0	0	4	0	0	0	2	2	0	0	0	0	0	0	0
Kitasatospora sp. MMS16-BH015	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
Actinomyces sp. oral taxon 171	0	0	0	3	0	0	13	6	3	0	0	0	0	0	0	0
Actinomyces naeslundii	0	0	0	1	0	0	19	0	0	0	4	0	0	0	6	0
Pseudonocardia broussonetiae	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
Actinosynnema pretiosum	0	0	0	18	2	0	0	10	4	0	5	0	25	1	1	0
Amycolatopsis sp. CA-230715	0	0	0	6	0	0	0	64	1	0	0	0	0	0	0	0
Amycolatopsis sp. BJA-103	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
Amycolatopsis sp. AA4	0	0	0	1	0	0	0	0	11	0	0	0	0	0	0	0
Amycolatopsis keratiniphila	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Actinoalloteichus hymeniacidonis	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0
Micromonospora craniellae	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0
Micromonospora coriariae	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Micromonospora krabiensis	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Actinoplanes sp. L3-i22	0	0	0	25	0	0	1	1	0	2	0	6	0	1	0	0
Catellatospora sp. IY07-71	0	0	0	1	0	0	0	1	0	1	2	0	2	0	1	0
Actinocatenispora sera	0	0	0	1	2	0	0	0	0	0	2	1	3	0	3	0
Bifidobacterium lemurum	0	0	0	20	0	1	0	5	0	1	0	0	0	0	0	0
Bifidobacterium pullorum	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0
Nonomuraea gerenzanensis	0	0	0	1	0	0	1	0	0	0	0	1	0	0	3	0
Nostoc sp. ATCC 53789	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
Nostoc linckia	0	0	0	2	0	0	4	0	0	1	5	1	3	0	0	1
Calothrix sp. NIES-2100	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0
Calothrix parasitica	0	0	0	1	0	0	0	0	2	7	0	0	0	0	0	0
Anabaenopsis circularis	0	0	0	4	8	1	0	0	0	0	0	0	0	1	0	0
Nodularia sphaerocarpa	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Scytonema sp. NIES-4073	0	0	0	1	7	0	0	2	12	0	0	1	3	0	2	0
Leptodesmis sichuanensis	0	0	0	2	0	1	0	17	0	0	0	0	0	0	1	0
Geminocystis sp. NIES-3708	0	0	0	1	0	0	0	0	2	0	0	1	0	0	0	0
Chondrocystis sp. NIES-4102	0	0	0	1	0	0	0	2	0	0	0	0	5	0	0	0
Synechococcus sp. KORDI-100	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0
Cyanobium sp. NIES-981	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Thermus scotoductus	0	0	0	9	0	0	0	39	0	0	0	0	0	0	0	0
Thermus parvatiensis	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0
Deinococcus psychrotolerans	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0
Deinococcus soli (ex Cha et al. 2016)	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
Deinococcus deserti	0	0	0	1	0	0	4	4	0	0	0	0	0	0	0	0
Bacteroides cellulosilyticus	0	0	0	7	0	0	0	0	3	0	1	0	1	1	5	1
Bacteroides caecimuris	0	0	0	3	0	0	0	0	0	4	0	0	0	5	0	0
Parabacteroides johnsonii	0	0	0	1	0	0	0	0	0	8	0	0	0	0	0	0
Polaribacter sp. ALD11	0	0	0	1	1	0	0	2	3	1	0	0	0	0	0	0
Flavobacterium sp. MMS21-Er5	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	3
Flavobacterium sp. CHNK8	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0
Flavobacterium sp. SLB02	0	0	0	1	0	0	0	0	70	35	0	0	0	0	0	1
Winogradskyella sp. J14-2	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
Winogradskyella schleiferi	0	0	0	1	0	1	0	6	0	0	0	0	0	0	0	0
Capnocytophaga sp. oral taxon 878	0	0	0	5	0	0	0	2	0	0	0	2	0	1	0	0
Capnocytophaga haemolytica	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Olleya aquimaris	0	0	0	1	0	1	0	0	0	1	0	0	0	2	0	0
Nonlabens marinus	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0
Nonlabens dokdonensis	0	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0
Cellulophaga baltica	0	0	0	1	0	0	0	0	4	15	0	0	0	0	0	0
Cellulophaga sp. L1A9	0	0	0	1	1	0	0	0	1	1	0	2	0	1	0	3
Dokdonia sp. Dokd-P16	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
Euzebyella marina	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	0
Muricauda sp. SCSIO 65647	0	0	0	1	0	0	0	0	61	29	0	0	0	0	0	0
Lacinutrix sp. WUR7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Formosa sediminum	0	0	0	1	0	0	0	0	0	1	0	1	0	2	0	0
Gramella sp. GC03-9	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0
Aquimarina sp. AD1	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0
Tamlana sp. s12	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Salegentibacter sp. T436	0	0	0	1	3	1	0	0	0	0	0	0	0	0	0	0
Chryseobacterium sp. G0186	0	0	0	1	0	0	18	3	4	0	0	4	0	0	0	0
Chryseobacterium sp. SNU WT5	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0
Chryseobacterium nepalense	0	0	0	2	2	0	0	0	3	0	0	0	0	0	0	0
Chryseobacterium nakagawai	0	0	0	4	0	2	0	0	7	0	0	0	0	0	0	0
Chryseobacterium salivictor	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Chryseobacterium arthrosphaerae	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1
Chryseobacterium glaciei	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
Cloacibacterium normanense	0	0	0	2	0	1	0	0	5	0	7	0	0	0	5	0
Spirosoma aureum	0	0	0	3	0	0	0	57	5	0	0	0	0	0	0	0
Spirosoma sp. KCTC 42546	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
Hymenobacter swuensis	0	0	0	21	0	0	2	47	0	1	0	0	0	0	0	0
Hymenobacter sp. 5413J-13	0	0	0	2	0	0	6	0	1	2	0	0	0	0	0	0
Hymenobacter sp. BRD67	0	0	0	4	0	0	36	0	0	0	7	1	0	2	0	0
Hymenobacter baengnokdamensis	0	0	0	3	0	0	13	0	2	0	0	0	0	0	0	0
Echinicola sp. 20G	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1
Cyclobacterium amurskyense	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0
Sphingobacterium sp. G1-14	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
Sphingobacterium daejeonense	0	0	0	1	0	0	0	0	31	25	0	0	0	1	0	0
Chlorobium phaeovibrioides	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	1
Fusobacterium necrophorum	0	0	0	15	0	0	0	1	0	0	0	2	0	1	0	0
Fusobacterium mortiferum	0	0	0	1	0	1	15	0	0	0	0	0	0	0	0	0
Pseudoleptotrichia goodfellowii	0	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0
Streptobacillus moniliformis	0	0	0	2	0	2	0	8	4	12	0	0	2	0	0	0
